Name,Comment,Time,Likes,Reply Count
Natcada Posiri,หนูเคยไปทัศนศึกษาที่ขอนแก่นแล้วก็ไปกินข้าวที่มหาลัยขอนแก่นเจอพี่คนหนึ่งน่ารักมากเพื่อนหนูเลยไปคุยด้วยพี่เค้าก็คุยด้วยแถมในของที่ละลึกอีกกพี่ๆที่มขน่ารักทุกคนเลยย,2020-07-25T07:47:15Z,1,3
Natcada Posiri,@Gee Babygee อีก4ปีน้องไปแน่งับบบ,2020-07-26T06:25:54Z,0,
Gee Babygee,Natcada Posiri มข.น่ารักจริงๆน้าาามาเรียนมข.เร็ว55555💕,2020-07-25T15:02:35Z,0,
Artitaya Lakaw,ทำเกี่ยวกับคณะศึกษาหน่อยงับ,2020-07-25T06:05:13Z,0,1
Gee Babygee,บอ ตอ ได้เลยค่าารอติดตามน้าาาอีกนิดเดียวว💕,2020-07-25T14:59:59Z,0,
Artitaya Lakaw,พี่เรียนคณะอะไรคะแล้วอยู่ปีไหนแล้วคะ 😊,2020-07-25T06:00:32Z,1,1
Gee Babygee,บอ ตอ เรียนคณะศึกษาศาสตร์ค่าา ปี 3 แย้ว,2020-07-25T15:00:14Z,0,
toeynnss,แวะมาทำบุญด้วยค่า และก็มาให้กำลังใจด้วย,2020-07-23T11:15:48Z,0,2
Re Ligion,"อิสลามใหญ่สวรรค์ พุทธใหญ่โลก คริสต์ใหญ่นรก อยู่กับคนดีเคารพอิสลาม อยู่กับคนเลวเคารพคริสต์ ฆ่าคนเลว(@IG(Supreme god kill the bad guys),,,,...,,,",2020-09-16T15:21:52Z,0,
Gee Babygee,งื้อออขอบคุณนะค้าาาได้กำลังใจเยอะเลย💕น่าร้ากกกก,2020-07-25T15:01:13Z,0,
Sairung Jarntarat,อยากให้พี่พาทัวร์คณะศิลปกรรมศาสตร์ด้วยจังค่า🥺💕✨,2020-07-23T07:56:43Z,8,1
Gee Babygee,Sairung Jarntarat ถ้ามีโอกาสจะพาไปทัวร์น้าาาา💕,2020-07-25T15:03:00Z,4,
som panisara,อยากให้พี่ลองไปทัวร์หรือพาไปดูคณะแพทย์หน่อยค่าาาาา,2020-07-23T05:23:41Z,0,2
Re Ligion,"อิสลามใหญ่สวรรค์ พุทธใหญ่โลก คริสต์ใหญ่นรก อยู่กับคนดีเคารพอิสลาม อยู่กับคนเลวเคารพคริสต์ ฆ่าคนเลว(@IG(Supreme god kill the bad guys),,,....,,,,",2020-09-16T15:21:33Z,0,
Gee Babygee,som panisara ถ้ามีโอกาสจะพาไปทัวร์น้าาา💕,2020-07-25T15:00:43Z,1,
winter bearz.,ขอถามหน่อยนะคะพี่ พี่อยู่ปีไหนแล้วอ้ะคะ แล้วแยู่คณะอะไร ขอบคุณค่ะ😊😊,2020-07-18T07:34:49Z,1,1
Gee Babygee,อยู่ปี3แล้วค่าา คณะศึกษาศาสตร์ ขอบคุณที่ติดตามน้าาา,2020-07-19T02:53:05Z,0,
GOLF STUDIO,น่ารักมากๆติดตามแล้วครับผม,2020-07-17T13:08:17Z,1,2
Re Ligion,"อิสลามใหญ่สวรรค์ พุทธใหญ่โลก คริสต์ใหญ่นรก อยู่กับคนดีเคารพอิสลาม อยู่กับคนเลวเคารพคริสต์ ฆ่าคนเลว(@IG(Supreme god kill the bad guys),,,...,,,",2020-09-16T15:22:16Z,0,
Gee Babygee,ขอบคุณนะค้าาา🥰,2020-07-19T02:53:26Z,1,
Bestsy Bestsy,คือดีมากกกกก คลิปหน้าขอทัวร์ตึกคณะต่างๆด้วยนะคับ 💓💓,2020-07-17T07:33:30Z,10,2
Re Ligion,"อิสลามใหญ่สวรรค์ พุทธใหญ่โลก คริสต์ใหญ่นรก อยู่กับคนดีเคารพอิสลาม อยู่กับคนเลวเคารพคริสต์ ฆ่าคนเลว(@IG(Supreme god kill the bad guys),,,,...,,,,",2020-09-16T15:21:21Z,0,
Gee Babygee,ขอบคุณนะคะได้กำลังใจในการทำคลิปเยอะเลยขอบคุณค่าา🥰,2020-07-19T02:53:55Z,2,
LiLi Mio,พี่ค้า เปิดเทอมเมื่อไรคะ,2020-07-12T21:31:16Z,0,1
Gee Babygee,Mi Ji มข.เปิด29 นี้ค่าาา,2020-07-25T14:59:34Z,0,
Aonjk 97,นี่อยู่ปี2แล้วยังไม่เคยไปขงจื่อเลยค่ะ5555555555555ทัวร์ยังไม่หมดเลย ถถถ,2020-07-12T09:47:05Z,0,2
แอร์ จ้า,สอบเข้ายากไหมคะ,2022-05-28T15:27:03Z,0,
Gee Babygee,บางที่เพิ่งเคยไปครั้งแรกเหมือนกันค่ะ5555กว้างใหญ่เกินน,2020-07-19T02:54:42Z,0,
นัครพล แดงดี,พี่น่ารักมากเลยครับ,2020-07-08T12:30:41Z,0,2
Re Ligion,"อิสลามใหญ่สวรรค์ พุทธใหญ่โลก คริสต์ใหญ่นรก อยู่กับคนดีเคารพอิสลาม อยู่กับคนเลวเคารพคริสต์ ฆ่าคนเลว(@IG(Supreme god kill the bad guys),,,,...,,,,,",2020-09-16T15:21:12Z,0,
Gee Babygee,นัครพล แดงดี ขอบคุณค่าขอบคุณที่ติดตามน้าา😍,2020-07-10T07:34:34Z,0,
3620น้ําหนึ่ง ชาโคตร,อยากให้พี่ทำคลิปทัวร์คณะบริหารธุรกิจและการบัญชีค่ะ,2020-07-07T11:00:58Z,0,1
Gee Babygee,Namnueng Chakotr ถ้ามีโอกาสจะไปทัวร์น้าาา💕,2020-07-07T11:37:01Z,0,
LALISLISA리사'♡,เค้ามาติดตามแล้วนะคะพี่คนสวย..งื้อมากชอบมากทำต่อไปนะคะรอติดตามค่ะ❤️🐰,2020-07-06T17:10:28Z,4,1
Re Ligion,"อิสลามใหญ่สวรรค์ พุทธใหญ่โลก คริสต์ใหญ่นรก อยู่กับคนดีเคารพอิสลาม อยู่กับคนเลวเคารพคริสต์ ฆ่าคนเลว(@IG(Supreme god kill the bad guys),,,...,,,",2020-09-16T15:20:47Z,0,
Kanaphot Thongdee,เล่นบาสหรอครับ,2020-07-05T17:56:54Z,0,2
Kanaphot Thongdee,พี่แนะนำช่วงเวลาที่สนามว่างหน่อยสิครับช่วงนี้โดมอเนกคนไปเล่นเยอะมั้ยอะ,2020-07-06T17:17:21Z,0,
Gee Babygee,Kanaphot Thongdee ใช่ค่ารแต่ตอนนี้ไม่ค่อยได้เล่นเลย555,2020-07-06T17:14:39Z,0,
Thenoyna,ถ้ามอเปิดแล้ว ช่วยรีวิวอีกด้วยได้มั้ยคะ,2020-07-05T09:22:19Z,2,1
Gee Babygee,Thexoyxa_ nn ได้เลยค่าาารอติดตามได้เลยเดี๋ยวเก็บบรรยากาศมาฝากนะคะ,2020-07-05T11:53:50Z,0,
ช่างเบิร์ด พอเพียง ชาแนล,ติดตามครับฝากช่องผมด้วยคนครับ,2020-07-03T05:22:04Z,2,0
Chaturayut Sutta,ทัวร์คณะศึกษาศาสตร์หน่อยคับ,2020-07-02T14:03:54Z,0,1
Gee Babygee,ได้เลยค่าารอหน่อยน้าา,2020-07-03T04:01:27Z,1,
umapilez,เอฟซีเลยค่าพี่จี,2020-07-01T10:57:51Z,1,1
Gee Babygee,งื้ออรู้นะว่าคิดถึงขอนแก่น,2020-07-01T12:10:19Z,0,
ภาษาไทย .คอม,อยากให้พี่ทำคลิปทัวร์คณะศึกษาศาสตร์ครับ,2020-07-01T10:35:49Z,45,1
Gee Babygee,ได้เลยค่าาารอติดตามได้เลยน้าา5555,2020-07-01T11:23:02Z,5,
Jeerada Suwannatrai,FC gee baby gee จงเจริญ!!,2020-07-01T09:51:23Z,0,1
Gee Babygee,คิดถึง,2020-07-01T12:09:55Z,0,
กานต์สินี พระพรมทวีสิน,พี่จีน่ารักจังค่ะ,2020-07-01T08:29:48Z,3,1
Gee Babygee,ขอบคุณน้าาาาขอบคุณที่ติดตามค่าาา❤️,2020-07-01T11:23:45Z,0,
Gee Babygee,ขออภัยในเสียงรบกวนด้วยนะคะ ฝากมือสมัครเล่นไว้ในอ้อมอกอ้อมใจด้วยนะค้าาา ไหนใครดูจบคลิปบ้างยกมือค่า5555,2020-07-01T07:28:25Z,35,5
solution1998 pear,@Re Ligion ต้องการอะไร,2021-07-05T11:30:16Z,0,
I'm Jikkee,พี่คะ พี่ช่วยทัวร์คณะพยาบาลศาสตร์ให้ดูหน่อยได้ไหมอ่ะคะ🤗💜,2020-11-02T11:43:49Z,0,
Gee Babygee,Kwanchanok suriya ได้เลยค่าถ้ามีโอกาสจะไปน้าาาา,2020-07-07T11:36:21Z,2,
Kwanchanok suriya,อยากให้ทัวคณะนิติศาสตร์ค่ะ,2020-07-07T04:44:30Z,1,
น้องบิ๊กไบค์,ขับแก๊บทั้งคืนถึงตี3 ผ่านทุกที่ครับไม่เจออะไร น่าจะยุคใหม่แล้ว,2022-09-07T12:20:42Z,0,0
